PLAYER	POSITION	STARTING PRICE
Milan Murdock	MID/FWD	$230,000
Oliver Francou	MID	$230,000
Marcus Herbert	MID	$230,000
BULLDOGS		
Marcus Bontempelli	MID	$1,167,000
Timothy English	RUC	$1,162,000
Thomas Liberatore	MID	$1,044,000
Ed Richards	MID	$1,014,000
Matthew Kennedy	MID	$1,013,000
Bailey Dale	DEF	$965,000
Adam Treloar	MID/FWD	$946,000
Sam Darcy	FWD	$863,000
Bailey Williams	DEF/MID	$805,000
Aaron Naughton	FWD	$753,000
Joel Freijah	MID/FWD	$748,000
James Harmes	MID	$701,000
Lachlan Bramble	DEF/FWD	$696,000
Ryley Sanders	MID/FWD	$694,000
Sam Davidson	MID/FWD	$693,000
Rhylee West	FWD	$688,000
Riley Garcia	MID/FWD	$620,000
Oskar Baker	DEF/MID/FWD	$590,000
Rory Lobb	DEF	$578,000
Luke Cleary	DEF	$543,000
Connor Budarick	FWD/DEF	$506,000
Buku Khamis	DEF/FWD	$501,000
Harvey Gallagher	DEF	$489,000
James O'Donnell	DEF	$480,000
Jordan Croft	FWD	$478,000
Nick Coffield	DEF	$473,000
Laitham Vandermeer	FWD	$455,000
Cody Weightman	FWD	$449,000
Lachlan McNeil	FWD/MID	$445,000
Jedd Busslinger	DEF	$348,000
Arthur Jones	MID/FWD	$327,000
Josh Dolan	FWD	$288,000
Lachlan Carmichael	DEF/MID	$270,000
Cooper Hynes	FWD/MID	$267,000
Louis Emmett	RUC	$246,000
Ryan Gardner	DEF	$230,000
Michael Sellwood	DEF	$230,000
Lachie Jaques	DEF	$230,000
Zac Walker	DEF	$230,000
Will Darcy	DEF/FWD	$230,000
Luke Kennedy	MID	$230,000
Lachlan Smith	RUC	$230,000
Will Lewis	FWD	$230,000
Caleb May	RUC	$230,000
